EvtUniqueID,OptionID,LocalCode,ExDT,OutturnStyleCD,PaytypeCD,RatioOld,RatioNew,RateValue01,DefaultOptionFlag,SourceFile
40179978929,1,WWTIF,,NEWO,S,300,1,0,T,data/2023-12/e2020_20231212_LST_EVT_2.txt
40179979104,1,SRZN,2023/12/14,NEWO,S,15,1,0.0001,T,data/2023-12/e2020_20231212_LST_EVT_2.txt
202010273270644,2,NLOP,2023/12/15,ADEX,S,0,0,0,T,data/2023-12/e2020_20231212_LST_EVT_2.txt
201010273272003,1,CENTA,2024/01/05,ADEX,S,4,1,0,F,data/2023-12/e2020_20231212_LST_EVT_2.txt
400738578,1,CMOIF,,ADEX,S,1,2,0,T,data/2023-12/e2020_20231204_LST_EVT_3.txt
40179538587,1,XTCPF,2023/12/05,NEWO,S,200,1,0,T,data/2023-12/e2020_20231204_LST_EVT_3.txt
40179841164,1,TOEYF,2023/12/05,NEWO,S,50,1,0,T,data/2023-12/e2020_20231204_LST_EVT_3.txt
40179848616,1,FLLHF,2023/12/04,NEWO,S,50,1,0.01,T,data/2023-12/e2020_20231204_LST_EVT_3.txt
40179939343,1,GENE,2023/12/11,NEWO,S,5,1,0,T,data/2023-12/e2020_20231204_LST_EVT_3.txt
202010272793791,2,ARSSF,2023/12/07,ADEX,S,0,0,0,F,data/2023-12/e2020_20231204_LST_EVT_3.txt
40179834443,1,HUSIF,2023/11/17,NEWO,S,2,1,0,T,data/2023-12/e2020_20231215_LST_EVT_3.txt
40179998534,1,SING,2023/12/15,NEWO,S,26,1,0.0001,T,data/2023-12/e2020_20231215_LST_EVT_3.txt
40179998534,1,SING,2023/12/15,NEWO,S,26,1,0.0001,T,data/2023-12/e2020_20231215_LST_EVT_3.txt
401710001336,1,WNW,2023/12/20,NEWO,S,35,1,0,T,data/2023-12/e2020_20231215_LST_EVT_3.txt
401710001339,1,TFFP,2023/12/19,NEWO,S,25,1,0.001,T,data/2023-12/e2020_20231215_LST_EVT_3.txt
40179933360,1,YQ,2023/12/18,NEWO,S,5,1,0,T,data/2023-12/e2020_20231213_LST_EVT_2.txt
202010273288238,2,ARSSF,2024/03/07,ADEX,S,0,0,0,F,data/2023-12/e2020_20231215_LST_EVT_3.txt
40179521492,1,CGC,2023/12/20,NEWO,S,15,1,0,T,data/2023-12/e2020_20231213_LST_EVT_3.txt
400738824,1,DSX,2023/12/05,ADEX,S,5,1,0,T,data/2023-12/e2020_20231215_LST_EVT_1.txt
40179866736,1,TCBP,2023/12/15,NEWO,S,20,1,0,T,data/2023-12/e2020_20231215_LST_EVT_1.txt
40179927839,1,IBIO,2023/11/29,NEWO,S,20,1,0.001,T,data/2023-12/e2020_20231215_LST_EVT_1.txt
40179933360,1,YQ,2023/12/18,NEWO,S,5,1,0,T,data/2023-12/e2020_20231215_LST_EVT_1.txt
40179991524,1,CYCC,2023/12/18,NEWO,S,15,1,0.001,T,data/2023-12/e2020_20231215_LST_EVT_1.txt
40179997534,1,VRAX,2023/12/18,NEWO,S,10,1,0.0001,T,data/2023-12/e2020_20231215_LST_EVT_1.txt
40179998397,1,FWBI,2023/12/18,NEWO,S,20,1,0.0001,T,data/2023-12/e2020_20231215_LST_EVT_1.txt
400738824,1,DSX,2023/12/05,ADEX,S,5,1,0,T,data/2023-12/e2020_20231215_LST_EVT_2.txt
400738880,1,ELP,2023/12/29,ADEX,S,4,1,0,T,data/2023-12/e2020_20231215_LST_EVT_2.txt
40179991524,1,CYCC,2023/12/18,NEWO,S,15,1,0.001,T,data/2023-12/e2020_20231215_LST_EVT_2.txt
40179998534,1,SING,2023/12/15,NEWO,S,26,1,0.0001,T,data/2023-12/e2020_20231215_LST_EVT_2.txt
40179998534,1,SING,2023/12/15,NEWO,S,26,1,0.0001,T,data/2023-12/e2020_20231215_LST_EVT_2.txt
40179999499,1,NLTX,2023/12/19,NEWO,S,4,1,0.000001,T,data/2023-12/e2020_20231215_LST_EVT_2.txt
40179999722,1,PXSTF,,NEWO,S,10,1,0.1,T,data/2023-12/e2020_20231215_LST_EVT_2.txt
40179999741,1,SPLP,2023/01/09,NEWO,S,12500,1,0,T,data/2023-12/e2020_20231215_LST_EVT_2.txt
201010273125253,1,NVSEF,,ADEX,S,5,1,0,F,data/2023-12/e2020_20231215_LST_EVT_1.txt
201010273269384,1,PRSR,,ADEX,S,1,1,0,F,data/2023-12/e2020_20231215_LST_EVT_2.txt
40179824176,1,GNTLF,2023/12/14,NEWO,S,100,1,0,T,data/2023-12/e2020_20231214_LST_EVT_0.txt
40179866736,1,TCBP,2023/12/15,NEWO,S,20,1,0,T,data/2023-12/e2020_20231214_LST_EVT_0.txt
40179991390,1,,2023/12/15,NEWO,S,10,1,0.1,T,data/2023-12/e2020_20231214_LST_EVT_0.txt
40179991390,1,HUBC,2023/12/15,NEWO,S,10,1,0.1,T,data/2023-12/e2020_20231214_LST_EVT_0.txt
400738872,1,SAVA,,ADEX,S,10,4,0,T,data/2023-12/e2020_20231212_LST_EVT_3.txt
40179989097,1,AIMD,2023/12/14,NEWO,S,5,1,0.01,T,data/2023-12/e2020_20231212_LST_EVT_3.txt
40179933360,1,YQ,2023/12/18,NEWO,S,5,1,0,T,data/2023-12/e2020_20231215_LST_EVT_0.txt
40179991524,1,CYCC,2023/12/18,NEWO,S,15,1,0.001,T,data/2023-12/e2020_20231215_LST_EVT_0.txt
40179997534,1,VRAX,2023/12/18,NEWO,S,10,1,0.0001,T,data/2023-12/e2020_20231215_LST_EVT_0.txt
40179998397,1,FWBI,2023/12/18,NEWO,S,20,1,0.0001,T,data/2023-12/e2020_20231215_LST_EVT_0.txt
40179998534,1,SING,2023/12/15,NEWO,S,26,1,0.0001,T,data/2023-12/e2020_20231215_LST_EVT_0.txt
40179998534,1,SING,2023/12/15,NEWO,S,26,1,0.0001,T,data/2023-12/e2020_20231215_LST_EVT_0.txt
400738872,1,SAVA,2024/01/04,ADEX,S,10,4,0,T,data/2023-12/e2020_20231214_LST_EVT_2.txt
40178193604,1,ARHTF,,NEWO,S,20,1,0,T,data/2023-12/e2020_20231214_LST_EVT_2.txt
40179824176,1,GNTLF,2023/12/14,NEWO,S,100,1,0,T,data/2023-12/e2020_20231214_LST_EVT_2.txt
40179866736,1,TCBP,2023/12/15,NEWO,S,20,1,0,T,data/2023-12/e2020_20231214_LST_EVT_2.txt
40179939343,1,GENE,2023/12/14,NEWO,S,5,1,0,T,data/2023-12/e2020_20231214_LST_EVT_2.txt
40179995704,1,ACITF,,NEWO,S,200,1,0.01,T,data/2023-12/e2020_20231214_LST_EVT_2.txt
202010272793791,2,ARSSF,2023/12/07,ADEX,S,53.58536,1,0,F,data/2023-12/e2020_20231214_LST_EVT_2.txt
40659881008,1,THYCF,,NEWO,S,1,2,0,T,data/2023-12/e2020_20231214_LST_EVT_2.txt
40659882791,1,SLCJF,,NEWO,S,1,2,0,T,data/2023-12/e2020_20231214_LST_EVT_2.txt
202010273288238,2,ARSSF,,ADEX,S,0,0,0,F,data/2023-12/e2020_20231215_LST_EVT_2.txt
